Equipment_ID,Equipment_Name,Category,Status,Current_Site,Site_Lat,Site_Long,Initial_Cost (₹),Maintenance_Cost/day (₹),Rent_Cost/day (₹),Start_Date,End_Date,Days_Active,Maintenance_Status
EQ0072,Safety Net,Safety,On Rent,Kusunda Overpass,23.74,86.42,20000,291,250,1/2/2025,-,13,Available
EQ0073,Excavator,Technical Equipment,Inventory,-,-,-,2500000,698,8000,5/26/2025,5/31/2025,5,Available
EQ0074,Hydraulic Breaker,Technical Equipment,In Maintenance,-,-,-,1200000,1093,5000,5/1/2025,-,6,Under Repair
EQ0075,Excavator,Technical Equipment,On Rent,Barwadda Expansion,23.835,86.455,2500000,1861,8000,5/27/2025,-,18,Available
EQ0076,Safety Jacket,Safety,On Rent,Govindpur Road Project,23.78,86.5,6000,1778,120,11/21/2025,-,26,Available
EQ0077,Safety Net,Safety,On Rent,Govindpur Road Project,23.78,86.5,20000,619,250,3/7/2025,-,21,Available
EQ0078,Excavator,Technical Equipment,On Rent,-,-,-,2500000,989,8000,6/27/2025,-,16,Available
EQ0079,Compressor,Technical Equipment,On Rent,Govindpur Road Project,23.78,86.5,600000,1027,1800,8/4/2025,-,12,Available
EQ0080,Safety Jacket,Safety,On Rent,Saraidhela Bridge,23.795,86.425,6000,814,120,3/14/2025,-,19,Available
EQ0081,Gloves Pack,Safety,On Rent,Saraidhela Bridge,23.795,86.425,5000,1536,100,2/15/2025,-,6,Available
EQ0082,Safety Net,Safety,On Rent,Katras Tunnel,23.81,86.44,20000,489,250,4/21/2025,-,11,Available
EQ0083,Safety Helmet Set,Safety,Inventory,-,-,-,8000,457,150,2/17/2025,2/21/2025,4,Available
EQ0084,Safety Helmet Set,Safety,Inventory,-,-,-,8000,1568,150,6/17/2025,6/29/2025,12,Available
EQ0085,Road Roller,Transportation,On Rent,Katras Tunnel,23.81,86.44,3000000,497,7000,8/19/2025,-,12,Available
EQ0086,Compressor,Technical Equipment,Inventory,-,-,-,600000,107,1800,5/5/2025,5/17/2025,12,Available
EQ0087,Safety Jacket,Safety,On Rent,Barwadda Expansion,23.835,86.455,6000,1422,120,5/29/2025,-,26,Available
EQ0088,Gloves Pack,Safety,On Rent,-,-,-,5000,1263,100,3/16/2025,-,6,Available
EQ0089,Road Roller,Transportation,On Rent,Katras Tunnel,23.81,86.44,3000000,1633,7000,5/19/2025,-,28,Available
EQ0090,Loader,Transportation,On Rent,Govindpur Road Project,23.78,86.5,1500000,339,5000,10/30/2025,-,8,Available
EQ0091,Excavator,Technical Equipment,On Rent,Barwadda Expansion,23.835,86.455,2500000,1393,8000,7/5/2025,-,8,Available
EQ0092,Road Roller,Transportation,On Rent,Govindpur Road Project,23.78,86.5,3000000,448,7000,8/23/2025,-,11,Available
EQ0093,Gloves Pack,Safety,In Maintenance,-,-,-,5000,1142,100,4/26/2025,-,4,Under Repair
EQ0094,Dump Truck,Transportation,On Rent,Saraidhela Bridge,23.795,86.425,4500000,688,9500,7/9/2025,-,15,Available
EQ0095,Excavator,Technical Equipment,On Rent,Katras Tunnel,23.81,86.44,2500000,1202,8000,8/23/2025,-,9,Available
EQ0096,Loader,Transportation,On Rent,Saraidhela Bridge,23.795,86.425,1500000,1234,5000,5/4/2025,-,12,Available
EQ0097,Safety Jacket,Safety,On Rent,-,-,-,6000,914,120,10/28/2025,-,13,Available
EQ0098,Harness Set,Safety,In Maintenance,-,-,-,15000,463,300,8/5/2025,-,9,Under Repair
EQ0099,Gloves Pack,Safety,On Rent,Kusunda Overpass,23.74,86.42,5000,1188,100,6/20/2025,-,24,Available
EQ0100,Dump Truck,Transportation,Inventory,-,-,-,4500000,877,9500,6/16/2025,6/25/2025,9,Available
EQ0101,Safety Helmet Set,Safety,Inventory,-,-,-,8000,1157,150,10/27/2025,10/29/2025,2,Available
EQ0102,Safety Net,Safety,In Maintenance,-,-,-,20000,1756,250,11/20/2025,-,10,Under Repair
EQ0103,Excavator,Technical Equipment,On Rent,Govindpur Road Project,23.78,86.5,2500000,1833,8000,3/27/2025,-,26,Available
EQ0104,Loader,Transportation,On Rent,Govindpur Road Project,23.78,86.5,1500000,953,5000,3/11/2025,-,8,Available
EQ0105,Dump Truck,Transportation,On Rent,Barwadda Expansion,23.835,86.455,4500000,2059,9500,3/7/2025,-,29,Available
EQ0106,Harness Set,Safety,In Maintenance,-,-,-,15000,468,300,10/19/2025,-,7,Under Repair
EQ0107,Gloves Pack,Safety,In Maintenance,-,-,-,5000,821,100,4/1/2025,-,15,Under Repair
EQ0108,Excavator,Technical Equipment,In Maintenance,-,-,-,2500000,794,8000,1/6/2025,-,11,Under Repair
EQ0109,Crane,Transportation,On Rent,Saraidhela Bridge,23.795,86.425,2000000,972,6500,8/3/2025,-,5,Available
EQ0110,Gloves Pack,Safety,In Maintenance,-,-,-,5000,1633,100,3/28/2025,-,9,Under Repair
EQ0111,Road Roller,Transportation,On Rent,Saraidhela Bridge,23.795,86.425,3000000,373,7000,10/3/2025,-,14,Available
EQ0112,Safety Net,Safety,Inventory,-,-,-,20000,1719,250,7/28/2025,8/4/2025,7,Available
EQ0113,Hydraulic Breaker,Technical Equipment,On Rent,Govindpur Road Project,23.78,86.5,1200000,537,5000,5/11/2025,-,17,Available
EQ0114,Welding Generator,Technical Equipment,On Rent,Govindpur Road Project,23.78,86.5,400000,700,1200,6/6/2025,-,23,Available
EQ0115,Harness Set,Safety,On Rent,Saraidhela Bridge,23.795,86.425,15000,267,300,8/8/2025,-,27,Available
EQ0116,Welding Generator,Technical Equipment,On Rent,Saraidhela Bridge,23.795,86.425,400000,1601,1200,6/26/2025,-,18,Available
EQ0117,Safety Jacket,Safety,On Rent,Katras Tunnel,23.81,86.44,6000,1531,120,4/15/2025,-,5,Available
EQ0118,Bulldozer,Transportation,Inventory,-,-,-,3500000,664,8000,7/10/2025,7/23/2025,13,Available
EQ0119,Bulldozer,Transportation,On Rent,Govindpur Road Project,23.78,86.5,3500000,1363,8000,3/14/2025,-,18,Available
EQ0120,Gloves Pack,Safety,Inventory,-,-,-,5000,550,100,1/23/2025,2/7/2025,15,Available
EQ0121,Hydraulic Breaker,Technical Equipment,Inventory,-,-,-,1200000,1190,5000,6/18/2025,6/30/2025,12,Available
EQ0122,Road Roller,Transportation,Inventory,-,-,-,3000000,832,7000,10/6/2025,10/17/2025,11,Available
EQ0123,Excavator,Technical Equipment,On Rent,Kusunda Overpass,23.74,86.42,2500000,677,8000,4/15/2025,-,17,Available
EQ0124,Gloves Pack,Safety,Inventory,-,-,-,5000,476,100,6/27/2025,7/8/2025,11,Available
EQ0125,Road Roller,Transportation,In Maintenance,-,-,-,3000000,837,7000,1/1/2025,-,14,Under Repair
EQ0126,Safety Net,Safety,Inventory,-,-,-,20000,678,250,9/12/2025,9/24/2025,12,Available
EQ0127,Bulldozer,Transportation,On Rent,-,-,-,3500000,1140,8000,3/30/2025,-,22,Available
EQ0128,Crane,Transportation,In Maintenance,-,-,-,2000000,532,6500,1/15/2025,-,8,Under Repair
EQ0129,Safety Net,Safety,On Rent,Katras Tunnel,23.81,86.44,20000,187,250,8/2/2025,-,16,Available
EQ0130,Road Roller,Transportation,On Rent,Barwadda Expansion,23.835,86.455,3000000,665,7000,2/28/2025,-,23,Available
EQ0131,Hydraulic Breaker,Technical Equipment,On Rent,Barwadda Expansion,23.835,86.455,1200000,175,5000,4/16/2025,-,17,Available
EQ0132,Loader,Transportation,Inventory,-,-,-,1500000,1126,5000,9/5/2025,9/19/2025,14,Available
EQ0133,Crane,Transportation,On Rent,Govindpur Road Project,23.78,86.5,2000000,160,6500,8/31/2025,-,21,Available
EQ0134,Bulldozer,Transportation,In Maintenance,-,-,-,3500000,1749,8000,9/10/2025,-,5,Under Repair
EQ0135,Safety Helmet Set,Safety,On Rent,Kusunda Overpass,23.74,86.42,8000,156,150,7/3/2025,-,18,Available
EQ0136,Safety Helmet Set,Safety,In Maintenance,-,-,-,8000,1830,150,9/18/2025,-,14,Under Repair
EQ0137,Bulldozer,Transportation,On Rent,Saraidhela Bridge,23.795,86.425,3500000,775,8000,6/22/2025,-,23,Available
EQ0138,Safety Helmet Set,Safety,On Rent,Kusunda Overpass,23.74,86.42,8000,1360,150,11/6/2025,-,24,Available
EQ0139,Concrete Mixer,Technical Equipment,On Rent,Katras Tunnel,23.81,86.44,150000,308,1500,5/26/2025,-,5,Available
EQ0140,Loader,Transportation,On Rent,-,-,-,1500000,1250,5000,7/31/2025,-,10,Available
EQ0141,Road Roller,Transportation,In Maintenance,-,-,-,3000000,1283,7000,7/26/2025,-,13,Under Repair
EQ0142,Loader,Transportation,On Rent,Katras Tunnel,23.81,86.44,1500000,1852,5000,1/14/2025,-,10,Available
EQ0143,Dump Truck,Transportation,On Rent,Kusunda Overpass,23.74,86.42,4500000,407,9500,4/23/2025,-,11,Available
EQ0144,Road Roller,Transportation,On Rent,-,-,-,3000000,941,7000,7/17/2025,-,17,Available
EQ0145,Hydraulic Breaker,Technical Equipment,On Rent,Katras Tunnel,23.81,86.44,1200000,1392,5000,3/16/2025,-,15,Available
EQ0146,Dump Truck,Transportation,Inventory,-,-,-,4500000,1715,9500,5/7/2025,5/12/2025,5,Available
EQ0147,Concrete Mixer,Technical Equipment,Inventory,-,-,-,150000,559,1500,5/3/2025,5/15/2025,12,Available
EQ0148,Crane,Transportation,On Rent,Govindpur Road Project,23.78,86.5,2000000,1644,6500,2/25/2025,-,20,Available
EQ0149,Road Roller,Transportation,On Rent,Barwadda Expansion,23.835,86.455,3000000,545,7000,6/11/2025,-,15,Available
EQ0150,Bulldozer,Transportation,Inventory,-,-,-,3500000,1598,8000,5/21/2025,5/27/2025,6,Available
EQ0151,Safety Jacket,Safety,Inventory,-,-,-,6000,2040,120,7/29/2025,8/4/2025,6,Available
EQ0152,Safety Helmet Set,Safety,Inventory,-,-,-,8000,1465,150,7/14/2025,7/15/2025,1,Available
EQ0153,Harness Set,Safety,Inventory,-,-,-,15000,1041,300,5/14/2025,5/16/2025,2,Available
EQ0154,Safety Helmet Set,Safety,On Rent,Saraidhela Bridge,23.795,86.425,8000,1747,150,10/24/2025,-,23,Available
EQ0155,Welding Generator,Technical Equipment,On Rent,Katras Tunnel,23.81,86.44,400000,383,1200,10/25/2025,-,23,Available
EQ0156,Gloves Pack,Safety,On Rent,Saraidhela Bridge,23.795,86.425,5000,1184,100,5/3/2025,-,28,Available
EQ0157,Safety Jacket,Safety,In Maintenance,-,-,-,6000,1863,120,3/6/2025,-,3,Under Repair
EQ0158,Road Roller,Transportation,On Rent,Govindpur Road Project,23.78,86.5,3000000,2053,7000,5/20/2025,-,26,Available
EQ0159,Loader,Transportation,Inventory,-,-,-,1500000,173,5000,5/1/2025,5/2/2025,1,Available
EQ0160,Loader,Transportation,On Rent,Barwadda Expansion,23.835,86.455,1500000,504,5000,5/20/2025,-,28,Available
EQ0161,Dump Truck,Transportation,On Rent,Katras Tunnel,23.81,86.44,4500000,1294,9500,9/2/2025,-,20,Available
EQ0162,Loader,Transportation,On Rent,-,-,-,1500000,1263,5000,1/20/2025,-,19,Available
EQ0163,Compressor,Technical Equipment,Inventory,-,-,-,600000,564,1800,5/23/2025,5/28/2025,5,Available
EQ0164,Harness Set,Safety,On Rent,-,-,-,15000,1670,300,3/27/2025,-,15,Available
EQ0165,Harness Set,Safety,On Rent,Govindpur Road Project,23.78,86.5,15000,1640,300,5/3/2025,-,7,Available
EQ0166,Hydraulic Breaker,Technical Equipment,On Rent,Saraidhela Bridge,23.795,86.425,1200000,351,5000,8/7/2025,-,5,Available
EQ0167,Gloves Pack,Safety,In Maintenance,-,-,-,5000,800,100,11/15/2025,-,7,Under Repair
EQ0168,Safety Helmet Set,Safety,On Rent,Govindpur Road Project,23.78,86.5,8000,601,150,3/6/2025,-,9,Available
EQ0169,Safety Net,Safety,Inventory,-,-,-,20000,252,250,10/26/2025,10/28/2025,2,Available
EQ0170,Gloves Pack,Safety,On Rent,Govindpur Road Project,23.78,86.5,5000,182,100,9/20/2025,-,29,Available
EQ0171,Safety Net,Safety,In Maintenance,-,-,-,20000,222,250,1/15/2025,-,8,Under Repair
EQ0172,Gloves Pack,Safety,Inventory,-,-,-,5000,661,100,6/5/2025,6/16/2025,11,Available
EQ0173,Road Roller,Transportation,On Rent,Barwadda Expansion,23.835,86.455,3000000,1273,7000,2/14/2025,-,29,Available
EQ0174,Compressor,Technical Equipment,On Rent,Kusunda Overpass,23.74,86.42,600000,647,1800,8/12/2025,-,19,Available
EQ0175,Loader,Transportation,On Rent,Saraidhela Bridge,23.795,86.425,1500000,1414,5000,8/19/2025,-,22,Available
EQ0176,Hydraulic Breaker,Technical Equipment,On Rent,Kusunda Overpass,23.74,86.42,1200000,1474,5000,6/3/2025,-,27,Available
EQ0177,Hydraulic Breaker,Technical Equipment,In Maintenance,-,-,-,1200000,633,5000,7/8/2025,-,12,Under Repair
EQ0178,Safety Helmet Set,Safety,On Rent,Kusunda Overpass,23.74,86.42,8000,537,150,3/4/2025,-,17,Available
EQ0179,Safety Jacket,Safety,Inventory,-,-,-,6000,910,120,10/6/2025,10/18/2025,12,Available
EQ0180,Loader,Transportation,In Maintenance,-,-,-,1500000,273,5000,10/28/2025,-,13,Under Repair
EQ0181,Safety Net,Safety,On Rent,-,-,-,20000,1297,250,4/13/2025,-,13,Available
EQ0182,Dump Truck,Transportation,On Rent,-,-,-,4500000,295,9500,11/5/2025,-,29,Available
EQ0183,Harness Set,Safety,On Rent,Barwadda Expansion,23.835,86.455,15000,1567,300,6/12/2025,-,29,Available
EQ0184,Compressor,Technical Equipment,Inventory,-,-,-,600000,1109,1800,7/24/2025,8/4/2025,11,Available
EQ0185,Safety Helmet Set,Safety,Inventory,-,-,-,8000,290,150,1/26/2025,2/4/2025,9,Available
EQ0186,Hydraulic Breaker,Technical Equipment,On Rent,Saraidhela Bridge,23.795,86.425,1200000,2055,5000,9/17/2025,-,23,Available
EQ0187,Excavator,Technical Equipment,On Rent,Katras Tunnel,23.81,86.44,2500000,1245,8000,10/29/2025,-,9,Available
EQ0188,Safety Jacket,Safety,On Rent,Kusunda Overpass,23.74,86.42,6000,1209,120,7/5/2025,-,15,Available
EQ0189,Safety Jacket,Safety,On Rent,Barwadda Expansion,23.835,86.455,6000,391,120,3/17/2025,-,8,Available
EQ0190,Safety Net,Safety,In Maintenance,-,-,-,20000,296,250,9/10/2025,-,15,Under Repair
EQ0191,Concrete Mixer,Technical Equipment,In Maintenance,-,-,-,150000,945,1500,4/24/2025,-,6,Under Repair
EQ0192,Crane,Transportation,On Rent,-,-,-,2000000,507,6500,11/2/2025,-,8,Available
EQ0193,Hydraulic Breaker,Technical Equipment,On Rent,Govindpur Road Project,23.78,86.5,1200000,95,5000,6/18/2025,-,6,Available
EQ0194,Road Roller,Transportation,In Maintenance,-,-,-,3000000,1535,7000,6/11/2025,-,8,Under Repair
EQ0195,Road Roller,Transportation,On Rent,-,-,-,3000000,1795,7000,4/6/2025,-,28,Available
EQ0196,Excavator,Technical Equipment,On Rent,Katras Tunnel,23.81,86.44,2500000,1146,8000,8/1/2025,-,16,Available
EQ0197,Harness Set,Safety,On Rent,Katras Tunnel,23.81,86.44,15000,1538,300,7/19/2025,-,26,Available
EQ0198,Welding Generator,Technical Equipment,Inventory,-,-,-,400000,1295,1200,4/23/2025,5/8/2025,15,Available
EQ0199,Compressor,Technical Equipment,On Rent,Govindpur Road Project,23.78,86.5,600000,828,1800,7/3/2025,-,14,Available
EQ0200,Safety Jacket,Safety,On Rent,Katras Tunnel,23.81,86.44,6000,2045,120,4/4/2025,-,19,Available
EQ0201,Loader,Transportation,In Maintenance,-,-,-,1500000,838,5000,11/1/2025,-,4,Under Repair
EQ0202,Gloves Pack,Safety,On Rent,Saraidhela Bridge,23.795,86.425,5000,1719,100,11/17/2025,-,23,Available
EQ0203,Road Roller,Transportation,On Rent,-,-,-,3000000,633,7000,1/23/2025,-,16,Available
EQ0204,Safety Jacket,Safety,On Rent,Barwadda Expansion,23.835,86.455,6000,408,120,5/16/2025,-,5,Available
EQ0205,Safety Net,Safety,On Rent,Barwadda Expansion,23.835,86.455,20000,1861,250,1/30/2025,-,22,Available
EQ0206,Safety Net,Safety,In Maintenance,-,-,-,20000,864,250,3/29/2025,-,11,Under Repair
EQ0207,Dump Truck,Transportation,Inventory,-,-,-,4500000,1006,9500,10/1/2025,10/2/2025,1,Available
EQ0208,Gloves Pack,Safety,On Rent,Govindpur Road Project,23.78,86.5,5000,1813,100,8/15/2025,-,26,Available
EQ0209,Safety Jacket,Safety,In Maintenance,-,-,-,6000,848,120,12/1/2025,-,3,Under Repair
EQ0210,Excavator,Technical Equipment,Inventory,-,-,-,2500000,1559,8000,2/9/2025,2/13/2025,4,Available
EQ0211,Harness Set,Safety,In Maintenance,-,-,-,15000,804,300,5/11/2025,-,4,Under Repair
EQ0212,Road Roller,Transportation,On Rent,Kusunda Overpass,23.74,86.42,3000000,858,7000,1/25/2025,-,30,Available
EQ0213,Compressor,Technical Equipment,In Maintenance,-,-,-,600000,1576,1800,5/17/2025,-,8,Under Repair
EQ0214,Road Roller,Transportation,On Rent,Katras Tunnel,23.81,86.44,3000000,1143,7000,11/13/2025,-,18,Available
EQ0215,Safety Net,Safety,On Rent,Govindpur Road Project,23.78,86.5,20000,145,250,3/9/2025,-,15,Available
EQ0216,Loader,Transportation,On Rent,-,-,-,1500000,388,5000,6/11/2025,-,30,Available
EQ0217,Hydraulic Breaker,Technical Equipment,Inventory,-,-,-,1200000,407,5000,7/26/2025,8/1/2025,6,Available
EQ0218,Road Roller,Transportation,On Rent,-,-,-,3000000,1181,7000,4/11/2025,-,15,Available
EQ0219,Concrete Mixer,Technical Equipment,On Rent,-,-,-,150000,1712,1500,7/11/2025,-,5,Available
EQ0220,Welding Generator,Technical Equipment,On Rent,-,-,-,400000,1948,1200,3/2/2025,-,23,Available
EQ0221,Gloves Pack,Safety,In Maintenance,-,-,-,5000,546,100,4/13/2025,-,9,Under Repair
EQ0222,Loader,Transportation,Inventory,-,-,-,1500000,1219,5000,11/13/2025,11/20/2025,7,Available
EQ0223,Crane,Transportation,On Rent,Barwadda Expansion,23.835,86.455,2000000,1193,6500,3/28/2025,-,18,Available
EQ0224,Loader,Transportation,On Rent,Saraidhela Bridge,23.795,86.425,1500000,1286,5000,8/17/2025,-,5,Available
EQ0225,Safety Net,Safety,Inventory,-,-,-,20000,1065,250,6/21/2025,6/23/2025,2,Available
EQ0226,Excavator,Technical Equipment,On Rent,Kusunda Overpass,23.74,86.42,2500000,598,8000,11/16/2025,-,14,Available
EQ0227,Bulldozer,Transportation,Inventory,-,-,-,3500000,1286,8000,4/3/2025,4/14/2025,11,Available
EQ0228,Compressor,Technical Equipment,On Rent,-,-,-,600000,1548,1800,6/25/2025,-,7,Available
EQ0229,Loader,Transportation,Inventory,-,-,-,1500000,1699,5000,1/13/2025,1/24/2025,11,Available
EQ0230,Bulldozer,Transportation,Inventory,-,-,-,3500000,1202,8000,10/3/2025,10/11/2025,8,Available
EQ0231,Welding Generator,Technical Equipment,Inventory,-,-,-,400000,139,1200,10/12/2025,10/26/2025,14,Available
